2024-07-29 10:51:56 CPU: 1.6%, Memory: 11.2915%
2024-07-29 10:51:59 CPU: 0%, Memory: 11.2914%
2024-07-29 10:52:01 CPU: 0%, Memory: 11.2978%
2024-07-29 10:52:03 CPU: 0%, Memory: 11.2977%
2024-07-29 10:52:05 CPU: 0%, Memory: 11.3008%
2024-07-29 10:52:07 CPU: 1.6%, Memory: 11.2944%
2024-07-29 10:52:10 CPU: 0%, Memory: 11.2912%
2024-07-29 10:52:12 CPU: 0%, Memory: 11.2924%
2024-07-29 10:52:14 CPU: 11.1%, Memory: 11.291%
2024-07-29 10:52:16 CPU: 1.6%, Memory: 11.2897%
2024-07-29 10:52:18 CPU: 0%, Memory: 11.2862%
2024-07-29 10:52:21 CPU: 0%, Memory: 11.2844%
2024-07-29 10:52:23 CPU: 1.6%, Memory: 11.2824%
2024-07-29 10:52:25 CPU: 1.6%, Memory: 11.2774%
2024-07-29 10:52:27 CPU: 1.6%, Memory: 11.2773%
2024-07-29 10:52:29 CPU: 4.6%, Memory: 11.2836%
2024-07-29 10:52:32 CPU: 1.7%, Memory: 11.2854%
2024-07-29 10:52:34 CPU: 0%, Memory: 11.2848%
2024-07-29 10:52:36 CPU: 1.6%, Memory: 11.288%
2024-07-29 10:52:38 CPU: 0%, Memory: 11.2879%
2024-07-29 10:52:40 CPU: 1.6%, Memory: 11.291%
2024-07-29 10:52:43 CPU: 1.6%, Memory: 11.291%
2024-07-29 10:52:45 CPU: 1.6%, Memory: 11.2893%
2024-07-29 10:52:47 CPU: 0%, Memory: 11.2924%
2024-07-29 10:52:49 CPU: 6.2%, Memory: 11.2956%
2024-07-29 10:52:51 CPU: 0%, Memory: 11.2987%
2024-07-29 10:52:53 CPU: 1.6%, Memory: 11.3014%
2024-07-29 10:52:56 CPU: 1.6%, Memory: 11.3014%
2024-07-29 10:52:58 CPU: 0%, Memory: 11.3014%
2024-07-29 10:53:00 CPU: 0%, Memory: 11.3013%
2024-07-29 10:53:02 CPU: 0%, Memory: 11.3013%
2024-07-29 10:53:04 CPU: 0%, Memory: 11.3007%
2024-07-29 10:53:07 CPU: 1.6%, Memory: 11.3039%
2024-07-29 10:53:09 CPU: 0%, Memory: 11.3071%
2024-07-29 10:53:11 CPU: 0%, Memory: 11.3071%
2024-07-29 10:53:13 CPU: 0%, Memory: 11.3102%
2024-07-29 10:53:15 CPU: 1.6%, Memory: 11.3318%
